metric,value
cv_brier,0.0222487095689133
cv_log_loss,0.10861960115955589
baseline_brier,0.02224878172200554
baseline_log_loss,0.10862119681906977
brier_improvement,7.215309224054e-08
validation_draws,365
allowed_recipes,long_only
target,suffix3_any
positions_per_draw,23
theoretical_baseline,0.022748762178548265
selected_recipe,long_only
selected_blend,0.08
observed_draws,1083
target_date,2026-09-22
forecast_kind,live_pre_draw
generated_at_utc,2026-09-22T13:47:16+00:00
data_cutoff_date,2026-09-21
history_calendar_start,2023-09-23
history_calendar_end,2026-09-21
