metric,value
cv_brier,0.022256549740256724
cv_log_loss,0.10865040417455954
baseline_brier,0.022256626947832744
baseline_log_loss,0.10865210284403247
brier_improvement,7.720757601997752e-08
validation_draws,365
allowed_recipes,long_only
target,suffix3_any
positions_per_draw,23
theoretical_baseline,0.022748762178548265
selected_recipe,long_only
selected_blend,0.08
observed_draws,1083
target_date,2026-09-12
forecast_kind,live_pre_draw
generated_at_utc,2026-09-12T12:31:08+00:00
data_cutoff_date,2026-09-11
history_calendar_start,2023-09-13
history_calendar_end,2026-09-11
