metric,value
cv_brier,0.022253948626687167
cv_log_loss,0.10864041315459368
baseline_brier,0.02225401187255701
baseline_log_loss,0.10864180083571157
brier_improvement,6.324586984338132e-08
validation_draws,365
allowed_recipes,long_only
target,suffix3_any
positions_per_draw,23
theoretical_baseline,0.022748762178548265
selected_recipe,long_only
selected_blend,0.08
observed_draws,1083
target_date,2026-09-18
forecast_kind,live_pre_draw
generated_at_utc,2026-09-18T13:15:40+00:00
data_cutoff_date,2026-09-17
history_calendar_start,2023-09-19
history_calendar_end,2026-09-17
