metric,value
cv_brier,0.02226703584547881
cv_log_loss,0.1086921948288563
baseline_brier,0.02226708724893568
baseline_log_loss,0.10869331087731607
brier_improvement,5.140345686951986e-08
validation_draws,365
allowed_recipes,long_only
target,suffix3_any
positions_per_draw,23
theoretical_baseline,0.022748762178548265
selected_recipe,long_only
selected_blend,0.08
observed_draws,1083
target_date,2026-09-02
forecast_kind,live_pre_draw
generated_at_utc,2026-09-02T13:05:25+00:00
data_cutoff_date,2026-09-01
history_calendar_start,2023-09-03
history_calendar_end,2026-09-01
