metric,value
cv_brier,0.022248750320546913
cv_log_loss,0.10862050270289912
baseline_brier,0.02224878172200554
baseline_log_loss,0.10862119681906977
brier_improvement,3.140145862778887e-08
validation_draws,365
allowed_recipes,long_only
target,suffix3_any
positions_per_draw,23
theoretical_baseline,0.022748762178548265
selected_recipe,long_only
selected_blend,0.06
observed_draws,1083
target_date,2026-09-25
forecast_kind,live_pre_draw
generated_at_utc,2026-09-25T14:18:27+00:00
data_cutoff_date,2026-09-24
history_calendar_start,2023-09-26
history_calendar_end,2026-09-24
