metric,value
cv_brier,0.022256553138386658
cv_log_loss,0.10865047911896712
baseline_brier,0.022256626947832737
baseline_log_loss,0.10865210284403244
brier_improvement,7.380944607934814e-08
validation_draws,365
allowed_recipes,long_only
target,suffix3_any
positions_per_draw,23
theoretical_baseline,0.022748762178548265
selected_recipe,long_only
selected_blend,0.08
observed_draws,1083
target_date,2026-09-14
forecast_kind,live_pre_draw
generated_at_utc,2026-09-14T15:26:08+00:00
data_cutoff_date,2026-09-13
history_calendar_start,2023-09-15
history_calendar_end,2026-09-13
