metric,value
cv_brier,0.02226444039495727
cv_log_loss,0.10868231418165765
baseline_brier,0.022264472173659944
baseline_log_loss,0.10868300886899514
brier_improvement,3.1778702672818904e-08
validation_draws,365
allowed_recipes,long_only
target,suffix3_any
positions_per_draw,23
theoretical_baseline,0.022748762178548265
selected_recipe,long_only
selected_blend,0.06
observed_draws,1082
target_date,2026-08-28
forecast_kind,live_pre_draw
generated_at_utc,2026-08-27T19:20:27+00:00
data_cutoff_date,2026-08-27
history_calendar_start,2023-08-29
history_calendar_end,2026-08-27
