number,probability,raw_model_probability,long_rate,short_rate,recent_long_rate,weekday_rate,gap_signal
662,0.023482675907946834,0.0349806576685244,0.0349806576685244,0.0280410477559408,0.02526326997816302,0.031135005779650025,0.0214141681307401
572,0.023368967758862817,0.03308552185045744,0.03308552185045744,0.011374381089274133,0.02526326997816302,0.031135005779650025,0.022642601288381706
983,0.023331065042501476,0.03245380991110179,0.03245380991110179,0.036374381089274134,0.03359660331149635,0.01757568374575172,0.021565826545263754
186,0.02329316232614014,0.031822097971746136,0.031822097971746136,0.0280410477559408,0.0280410477559408,0.027745175271175447,0.022187626044810744
369,0.02329316232614014,0.031822097971746136,0.031822097971746136,0.036374381089274134,0.0280410477559408,0.041304497305073753,0.021535494862359023
432,0.02329316232614014,0.031822097971746136,0.031822097971746136,0.044707714422607465,0.03359660331149635,0.024355344762700872,0.021520329020906656
697,0.02329316232614014,0.031822097971746136,0.031822097971746136,0.019707714422607468,0.0280410477559408,0.01757568374575172,0.021702319118335044
053,0.023255259609778797,0.03119038603239048,0.03119038603239048,0.011374381089274133,0.01692993664482969,0.020965514254226294,0.022915586434524286
526,0.023255259609778797,0.03119038603239048,0.03119038603239048,0.036374381089274134,0.030818825533718577,0.014185853237277142,0.021641655752525583
592,0.023255259609778797,0.03119038603239048,0.03119038603239048,0.036374381089274134,0.030818825533718577,0.014185853237277142,0.021641655752525583
645,0.023255259609778797,0.03119038603239048,0.03119038603239048,0.036374381089274134,0.030818825533718577,0.037914666796599175,0.0214141681307401
114,0.02321735689341746,0.030558674093034827,0.030558674093034827,0.019707714422607468,0.036374381089274134,0.024355344762700872,0.02199047010592999
294,0.02321735689341746,0.030558674093034827,0.030558674093034827,0.019707714422607468,0.0280410477559408,0.031135005779650025,0.021793314167049237
370,0.02321735689341746,0.030558674093034827,0.030558674093034827,0.0280410477559408,0.0280410477559408,0.01757568374575172,0.0214141681307401
484,0.02321735689341746,0.030558674093034827,0.030558674093034827,0.019707714422607468,0.022485492200385242,0.024355344762700872,0.021838811691406335
653,0.02321735689341746,0.030558674093034827,0.030558674093034827,0.0280410477559408,0.0280410477559408,0.024355344762700872,0.022051133471739454
676,0.02321735689341746,0.030558674093034827,0.030558674093034827,0.036374381089274134,0.03359660331149635,0.014185853237277142,0.02138383644783537
080,0.02317945417705612,0.02992696215367917,0.02992696215367917,0.061374381089274135,0.04470771442260746,0.020965514254226294,0.02144449981364483
179,0.02317945417705612,0.02992696215367917,0.02992696215367917,0.0280410477559408,0.030818825533718577,0.027745175271175447,0.02223312356916784
213,0.02317945417705612,0.02992696215367917,0.02992696215367917,0.019707714422607468,0.02526326997816302,0.027745175271175447,0.02148999733800193
811,0.02317945417705612,0.02992696215367917,0.02992696215367917,0.044707714422607465,0.030818825533718577,0.031135005779650025,0.021520329020906656
867,0.02317945417705612,0.02992696215367917,0.02992696215367917,0.036374381089274134,0.022485492200385242,0.027745175271175447,0.021914640898668163
878,0.02317945417705612,0.02992696215367917,0.02992696215367917,0.011374381089274133,0.019707714422607468,0.024355344762700872,0.022657767129834073
000,0.02314155146069478,0.02929525021432352,0.02929525021432352,0.0280410477559408,0.03359660331149635,0.034524836288124604,0.021747816642692142
