metric,value
cv_brier,0.02225395298648003
cv_log_loss,0.1086405093486705
baseline_brier,0.02225401187255701
baseline_log_loss,0.10864180083571158
brier_improvement,5.888607697984716e-08
validation_draws,365
allowed_recipes,long_only
target,suffix3_any
positions_per_draw,23
theoretical_baseline,0.022748762178548265
selected_recipe,long_only
selected_blend,0.08
observed_draws,1083
target_date,2026-09-16
forecast_kind,live_pre_draw
generated_at_utc,2026-09-16T13:52:40+00:00
data_cutoff_date,2026-09-15
history_calendar_start,2023-09-17
history_calendar_end,2026-09-15
