metric,value
cv_brier,0.02225916963448231
cv_log_loss,0.10866081879966287
baseline_brier,0.02225924202310848
baseline_log_loss,0.10866240485235334
brier_improvement,7.238862616970598e-08
validation_draws,365
allowed_recipes,long_only
target,suffix3_any
positions_per_draw,23
theoretical_baseline,0.022748762178548265
selected_recipe,long_only
selected_blend,0.08
observed_draws,1083
target_date,2026-09-11
forecast_kind,live_pre_draw
generated_at_utc,2026-09-11T13:06:42+00:00
data_cutoff_date,2026-09-10
history_calendar_start,2023-09-12
history_calendar_end,2026-09-10
