metric,value
cv_brier,0.022269674632845453
cv_log_loss,0.10870300783916306
baseline_brier,0.022269702324211414
baseline_log_loss,0.10870361288563693
brier_improvement,2.7691365960674785e-08
validation_draws,365
allowed_recipes,long_only
target,suffix3_any
positions_per_draw,23
theoretical_baseline,0.022748762178548265
selected_recipe,long_only
selected_blend,0.06
observed_draws,1083
target_date,2026-08-17
forecast_kind,live_pre_draw
generated_at_utc,2026-08-17T09:30:59+00:00
data_cutoff_date,2026-08-16
history_calendar_start,2023-08-18
history_calendar_end,2026-08-16
