metric,value
cv_brier,0.02226965507194671
cv_log_loss,0.10870256786984855
baseline_brier,0.022269702324211414
baseline_log_loss,0.10870361288563693
brier_improvement,4.725226470519983e-08
validation_draws,365
allowed_recipes,long_only
target,suffix3_any
positions_per_draw,23
theoretical_baseline,0.022748762178548265
selected_recipe,long_only
selected_blend,0.06
observed_draws,1083
target_date,2026-08-23
forecast_kind,live_pre_draw
generated_at_utc,2026-08-23T09:19:22+00:00
data_cutoff_date,2026-08-22
history_calendar_start,2023-08-24
history_calendar_end,2026-08-22
