metric,value
cv_brier,0.022269667927292267
cv_log_loss,0.1087028585233736
baseline_brier,0.02226970232421141
baseline_log_loss,0.10870361288563694
brier_improvement,3.439691914283727e-08
validation_draws,365
allowed_recipes,long_only
target,suffix3_any
positions_per_draw,23
theoretical_baseline,0.022748762178548265
selected_recipe,long_only
selected_blend,0.06
observed_draws,1083
target_date,2026-08-16
forecast_kind,live_pre_draw
generated_at_utc,2026-08-16T09:18:01+00:00
data_cutoff_date,2026-08-15
history_calendar_start,2023-08-17
history_calendar_end,2026-08-15
