metric,value
cv_brier,0.022253932152168292
cv_log_loss,0.10864004441056405
baseline_brier,0.02225401187255701
baseline_log_loss,0.10864180083571158
brier_improvement,7.972038871748022e-08
validation_draws,365
allowed_recipes,long_only
target,suffix3_any
positions_per_draw,23
theoretical_baseline,0.022748762178548265
selected_recipe,long_only
selected_blend,0.08
observed_draws,1083
target_date,2026-09-15
forecast_kind,live_pre_draw
generated_at_utc,2026-09-15T13:59:18+00:00
data_cutoff_date,2026-09-14
history_calendar_start,2023-09-16
history_calendar_end,2026-09-14
