metric,value
cv_brier,0.02226701386186478
cv_log_loss,0.10869169904828338
baseline_brier,0.022267087248935676
baseline_log_loss,0.10869331087731607
brier_improvement,7.338707089590835e-08
validation_draws,365
allowed_recipes,long_only
target,suffix3_any
positions_per_draw,23
theoretical_baseline,0.022748762178548265
selected_recipe,long_only
selected_blend,0.08
observed_draws,1083
target_date,2026-09-05
forecast_kind,live_pre_draw
generated_at_utc,2026-09-05T12:13:47+00:00
data_cutoff_date,2026-09-04
history_calendar_start,2023-09-06
history_calendar_end,2026-09-04
