recipe,best_blend,brier,baseline_brier,brier_improvement,log_loss,baseline_log_loss,log_loss_improvement
w1y_s300,0.05,0.1814313584054625,0.18143177529379545,4.1688833293807015e-07,0.5489308291555164,0.5489319779505609,1.1487950445365769e-06
w1y_s100,0.05,0.18143141346637673,0.18143177529379545,3.618274187211501e-07,0.5489309827247114,0.5489319779505609,9.952258495093957e-07
decay1y_s300,0.0,0.18143177529379545,0.18143177529379545,0.0,0.5489319779505609,0.5489319779505609,0.0
decay3y_s300,0.0,0.18143177529379545,0.18143177529379545,0.0,0.5489319779505609,0.5489319779505609,0.0
decay5y_s300,0.0,0.18143177529379545,0.18143177529379545,0.0,0.5489319779505609,0.5489319779505609,0.0
decay_mix_s300,0.0,0.18143177529379545,0.18143177529379545,0.0,0.5489319779505609,0.5489319779505609,0.0
full_s100,0.0,0.18143177529379545,0.18143177529379545,0.0,0.5489319779505609,0.5489319779505609,0.0
full_s300,0.0,0.18143177529379545,0.18143177529379545,0.0,0.5489319779505609,0.5489319779505609,0.0
hybrid_s300,0.0,0.18143177529379545,0.18143177529379545,0.0,0.5489319779505609,0.5489319779505609,0.0
multi_1_3_5_10_full_s300,0.0,0.18143177529379545,0.18143177529379545,0.0,0.5489319779505609,0.5489319779505609,0.0
multi_3_5_full_s300,0.0,0.18143177529379545,0.18143177529379545,0.0,0.5489319779505609,0.5489319779505609,0.0
w10y_s100,0.0,0.18143177529379545,0.18143177529379545,0.0,0.5489319779505609,0.5489319779505609,0.0
w10y_s300,0.0,0.18143177529379545,0.18143177529379545,0.0,0.5489319779505609,0.5489319779505609,0.0
w3y_s100,0.0,0.18143177529379545,0.18143177529379545,0.0,0.5489319779505609,0.5489319779505609,0.0
w3y_s1000,0.0,0.18143177529379545,0.18143177529379545,0.0,0.5489319779505609,0.5489319779505609,0.0
w3y_s300,0.0,0.18143177529379545,0.18143177529379545,0.0,0.5489319779505609,0.5489319779505609,0.0
w5y_s100,0.0,0.18143177529379545,0.18143177529379545,0.0,0.5489319779505609,0.5489319779505609,0.0
w5y_s1000,0.0,0.18143177529379545,0.18143177529379545,0.0,0.5489319779505609,0.5489319779505609,0.0
w5y_s300,0.0,0.18143177529379545,0.18143177529379545,0.0,0.5489319779505609,0.5489319779505609,0.0
