ranker,top1_hit_rate,top1_lift_pp,top1_z,top3_hit_rate,top3_lift_pp,top3_z,top5_hit_rate,top5_lift_pp,top5_z,top3_positive_year_fraction,top3_year_std
w1y_s300,0.25209812782440283,1.4440842171506374,1.8883501835124386,0.2408005164622337,0.3143230809337233,0.7119129834026101,0.23970303421562297,0.20457485627265182,0.5981736391343495,0.6666666666666666,0.016045752357113113
w3y_s300,0.23143963847643642,-0.6217647176460034,-0.8130478158573453,0.24058532386485904,0.29280382119625803,0.6631738314612201,0.24138153647514526,0.3724250822248809,1.088965040955268,0.6666666666666666,0.012956032946290991
hybrid_s300,0.2301484828921885,-0.750880276070795,-0.9818851908179588,0.24004734237142242,0.23900567185259625,0.5413259516077483,0.23834732085216268,0.06900351992662201,0.20176519920207323,0.6666666666666666,0.009264479402855914
consensus_1_3_5,0.24144609425435765,0.3788808601461191,0.4954418400873932,0.23983214977404776,0.21748641211513098,0.49258679966635827,0.23783085861846354,0.017357296556708146,0.05075246018026026,0.4444444444444444,0.011359003527056774
multi_3_5_full_s300,0.23079406068431246,-0.6863224968583992,-0.897466503337652,0.23897137938454918,0.13140937316527268,0.29763019190080453,0.24144609425435765,0.3788808601461191,1.1078416333329917,0.5555555555555556,0.010545697415267584
multi_1_3_5_10_full_s300,0.23143963847643642,-0.6217647176460034,-0.8130478158573453,0.2386485904884872,0.09913048355907339,0.22452146398871636,0.23905745642349904,0.1400170770602588,0.4094077153570813,0.6666666666666666,0.006801240317512053
consensus_decay,0.2327307940606843,-0.49264915922121455,-0.6442104408967354,0.23768022380030127,0.0022938147404810705,0.005195280252464466,0.24002582311168497,0.2368537458788511,0.6925566010229918,0.6666666666666666,0.008804929209649807
stable_hot_1_3_5,0.23821820529373788,0.056091964084142854,0.07334840268586307,0.23768022380030127,0.0022938147404810705,0.005195280252464466,0.2329890251775339,-0.46682604753625623,-1.3649919681493003,0.4444444444444444,0.009257850335083717
decay_mix_s300,0.22885732730794062,-0.8799958344955838,-1.1507225657785687,0.2373574349042393,-0.029985074865715444,-0.0679134476596174,0.24021949644932214,0.25622107964256846,0.7491863781561706,0.5555555555555556,0.011203348754486656
decay3y_s300,0.2278889606197547,-0.9768325033141761,-1.277350596999027,0.2370346460081773,-0.062263964471914734,-0.14102217557170557,0.23789541639767592,0.02381307447794634,0.06962905255798384,0.5555555555555556,0.011457375981049484
w10y_s300,0.23724983860555196,-0.040744704734449466,-0.05327962853459527,0.23692704970949,-0.07302359434064598,-0.1653917515423974,0.23854099418979988,0.08837085369034214,0.2583949763352602,0.3333333333333333,0.012545091844119277
decay1y_s300,0.24241446094254357,0.4757175289647114,0.6220698713078516,0.23595868302130407,-0.1698602631592383,-0.38471793527864934,0.23744351194318916,-0.021377370970729337,-0.06250709408610557,0.4444444444444444,0.015538153867854171
consensus_3_5_10,0.23563589412524208,-0.2021391527654376,-0.26432634723536036,0.23348396815149558,-0.4173317501400875,-0.9452181826046313,0.23260167850225952,-0.5055607150636937,-1.4782515224156663,0.3333333333333333,0.011493481473811228
w5y_s300,0.223692704970949,-1.3964580681947447,-1.8260720656210154,0.23316117925543361,-0.449610639746284,-1.0183269105167132,0.2343447385409942,-0.3312547111902264,-0.968583528217024,0.5555555555555556,0.012725415776547197
decay5y_s300,0.22175597159457713,-1.590131405831932,-2.079328128061936,0.2317624273724984,-0.5894858280398069,-1.335131398135745,0.23440929632020657,-0.32479893326898823,-0.9497069358393004,0.3333333333333333,0.012693067446901737
consensus_all,0.23369916074887023,-0.39581249040262223,-0.517582409676277,0.23133204217774908,-0.6325243475147374,-1.432609702018525,0.2366688185926404,-0.0988467060256043,-0.2890262026188372,0.2222222222222222,0.008667034473020646
full_s300,0.23724983860555196,-0.040744704734449466,-0.05327962853459527,0.2304712717882505,-0.7186013864645957,-1.627566309784079,0.2300193673337637,-0.7637918319132742,-2.2333152175247637,0.4444444444444444,0.010543945094812988
