year,selection_years,ranker,selection_objective,selection_top3_positive_year_fraction,selection_top3_year_std,selection_posterior_top1,selection_posterior_top3,selection_posterior_top5,draws,top1_hits,top1_trials,top1_hit_rate,top1_lift_pp,top3_hits,top3_trials,top3_hit_rate,top3_lift_pp,top5_hits,top5_trials,top5_hit_rate,top5_lift_pp
2018,2014-2017,multi_3_5_full_s300,0.2376243664604225,0.75,0.007767378022475743,0.23871463625885336,0.24248496450850918,0.2395935909608385,361,95,361,0.2631578947368421,2.5500609083945633,258,1083,0.23822714681440443,0.05698611615079785,439,1805,0.24321329639889197,0.5556010745995515
2019,2015-2018,multi_3_5_full_s300,0.2386131096929981,0.75,0.007767378022475743,0.24198661989893516,0.24248496450850918,0.24093097697907556,361,89,361,0.24653739612188366,0.8880110468987207,279,1083,0.25761772853185594,1.9960442878959483,457,1805,0.253185595567867,1.5528309914970562
2020,2016-2019,multi_3_5_full_s300,0.23803962067488185,0.75,0.008794478761939634,0.2395326321688738,0.24304728878217366,0.2414172991675254,340,64,340,0.18823529411764706,-4.94219915352494,245,1020,0.24019607843137256,0.2538792778476101,413,1700,0.24294117647058824,0.5283890817691789
2021,2017-2020,multi_1_3_5_10_full_s300,0.23980116967002604,1.0,0.0030001158952015963,0.2338659866499779,0.24305509312068638,0.23939091628501497,361,91,361,0.2520775623268698,1.4420276673973331,266,1083,0.24561403508771928,0.795674943482283,444,1805,0.24598337950138505,0.8326093848488592
2022,2018-2021,w3y_s300,0.24397928127947896,1.0,0.005713879299102524,0.2379931017964905,0.24836919446819064,0.246538174448909,361,92,361,0.2548476454293629,1.7190359776466435,263,1083,0.24284395198522624,0.5186666332329781,439,1805,0.24321329639889197,0.5556010745995515
2023,2019-2022,w3y_s300,0.24483961505043253,1.0,0.005355232803991358,0.23964394785509552,0.24855898380203006,0.24752400316117024,361,71,361,0.19667590027700832,-4.098138537588813,241,1083,0.22253000923361035,-1.5127276419286102,414,1805,0.2293628808864266,-0.8294404766469865
2024,2020-2023,w1y_s300,0.23961475616961844,0.75,0.0072302913540501085,0.24831088966277196,0.24210614645148917,0.23963737346308028,362,84,362,0.23204419889502761,-0.561308675786884,276,1086,0.2541436464088398,1.6486360755943341,438,1810,0.2419889502762431,0.4331664623346637
2025,2021-2024,w1y_s300,0.24473251820706407,1.0,0.004168552569085916,0.24853058717909876,0.24660867584871538,0.24190362135597526,361,79,361,0.2188365650969529,-1.8820720555943553,232,1083,0.21421975992613113,-2.343752572676533,404,1805,0.22382271468144044,-1.3834570971456017
2026,2022-2025,w1y_s300,0.23298602054331716,0.75,0.015921790643716224,0.2407596260339045,0.2406105502629609,0.2398367520550634,243,71,243,0.29218106995884774,5.452378430595129,194,729,0.2661179698216735,2.8460684168777064,309,1215,0.254320987654321,1.666370200142453
