number,probability,raw_recipe_probability,uplift_vs_baseline_pp,selected_recipe,selected_blend,historical_best_prefix_digit,historical_best_3digit,historical_best_3digit_count,historical_best_3digit_hit_draws,historical_best_3digit_position_rate_pct
83,0.2394809773328142,0.2741311192512512,0.18236916799177494,w1y_s300,0.05,4,483,195,192,0.11274283071230343
91,0.23933060077451035,0.27112358808517456,0.16733151216138942,w1y_s300,0.05,6,691,187,184,0.10811748381128584
92,0.2389546608688669,0.2636047899723053,0.12973752159704532,w1y_s300,0.05,4,492,205,202,0.11852451433857539
14,0.23887947258971498,0.26210102438926697,0.12221869368185256,w1y_s300,0.05,1,114,200,196,0.11563367252543941
60,0.23887947258971498,0.26210102438926697,0.12221869368185256,w1y_s300,0.05,3,360,198,194,0.11447733580018501
95,0.23887947258971498,0.26210102438926697,0.12221869368185256,w1y_s300,0.05,2,295,196,196,0.11332099907493062
27,0.23880428431056305,0.26059725880622864,0.1146998657666598,w1y_s300,0.05,5,527,192,191,0.11100832562442182
09,0.23872909752152727,0.2590935230255127,0.1071811868630812,w1y_s300,0.05,0,009,191,188,0.11043015726179463
69,0.23872909752152727,0.2590935230255127,0.1071811868630812,w1y_s300,0.05,3,369,190,187,0.10985198889916743
13,0.23865390924237534,0.25758975744247437,0.09966235894788844,w1y_s300,0.05,0,013,187,182,0.10811748381128584
62,0.23857872096322344,0.25608599185943604,0.09214353103269846,w1y_s300,0.05,6,662,212,204,0.12257169287696577
52,0.2384283444049196,0.2530784606933594,0.07710587520231571,w1y_s300,0.05,9,952,210,203,0.12141535615171138
68,0.2384283444049196,0.2530784606933594,0.07710587520231571,w1y_s300,0.05,3,368,192,191,0.11100832562442182
42,0.2383531576158838,0.25157472491264343,0.06958719629873433,w1y_s300,0.05,4,442,191,190,0.11043015726179463
51,0.2383531576158838,0.25157472491264343,0.06958719629873433,w1y_s300,0.05,8,851,198,195,0.11447733580018501
73,0.2383531576158838,0.25157472491264343,0.06958719629873433,w1y_s300,0.05,2,273,183,183,0.10580481036077706
12,0.2382779693367319,0.2500709593296051,0.06206836838354435,w1y_s300,0.05,7,712,205,205,0.11852451433857539
01,0.23820278105757997,0.24856719374656677,0.05454954046835159,w1y_s300,0.05,1,101,191,187,0.11043015726179463
