number,probability,raw_model_probability,hit_rate_7,hit_rate_30,hit_rate_90,position_rate_30,bayes_long_rate,bayes_weekday_rate,gap_norm,prev_hit,historical_best_prefix_digit,historical_best_3digit,historical_best_3digit_count,historical_best_3digit_hit_draws,historical_best_3digit_position_rate_pct
00,0.23765728565289646,0.23742702432580184,0.2857142857142857,0.26666666666666666,0.24444444444444444,0.011111111111111112,0.2221181137491882,0.2072267313564505,0.03333333333333333,0.0,2,200,194,194,0.11173377412499208
01,0.23765728565289646,0.23768032094403746,0.14285714285714285,0.1,0.2,0.0049382716049382715,0.22888058205011805,0.21266151396514615,0.13333333333333333,0.0,1,101,191,187,0.11000593225707983
02,0.23765728565289646,0.23783872574172915,0.0,0.13333333333333333,0.2,0.0049382716049382715,0.2331071247381992,0.23983542700862442,0.3,0.0,2,202,197,195,0.11346161599290433
03,0.23765728565289646,0.23821919349041076,0.42857142857142855,0.3,0.25555555555555554,0.011111111111111112,0.24325082718959395,0.18005281831297223,0.06666666666666667,0.0,4,403,194,194,0.11173377412499208
04,0.23765728565289646,0.23711066505748205,0.2857142857142857,0.23333333333333334,0.25555555555555554,0.009876543209876543,0.2136650283730259,0.21266151396514615,0.03333333333333333,0.0,6,604,198,193,0.11403756328220842
05,0.23765728565289646,0.23768032094403746,0.0,0.1,0.23333333333333334,0.003703703703703704,0.22888058205011805,0.2289658617912331,0.23333333333333334,0.0,4,405,191,190,0.11000593225707983
06,0.23765728565289646,0.23806061444326007,0.5714285714285714,0.26666666666666666,0.32222222222222224,0.009876543209876543,0.2390242845015128,0.1963571661390592,0.0,1.0,9,906,201,198,0.11576540515012067
07,0.23765728565289646,0.23774367414906858,0.2857142857142857,0.3,0.2222222222222222,0.012345679012345678,0.23057119912535048,0.22353107918253745,0.03333333333333333,0.0,4,407,191,189,0.11000593225707983
08,0.23765728565289646,0.23758531292329382,0.2857142857142857,0.3,0.2111111111111111,0.011111111111111112,0.22634465643726934,0.21266151396514615,0.06666666666666667,0.0,2,208,202,201,0.11634135243942474
09,0.23765728565289646,0.23844132609806637,0.0,0.23333333333333334,0.2,0.008641975308641976,0.24916798695290757,0.2996180357042766,0.43333333333333335,0.0,0,009,191,188,0.11000593225707983
10,0.23765728565289646,0.23856832288077823,0.14285714285714285,0.23333333333333334,0.25555555555555554,0.008641975308641976,0.25254922110337247,0.2887484704868853,0.03333333333333333,0.0,9,910,210,209,0.1209489307538574
11,0.23765728565289646,0.2380923244453142,0.5714285714285714,0.3333333333333333,0.28888888888888886,0.014814814814814815,0.23986959303912903,0.2833136878781896,0.03333333333333333,0.0,1,111,202,201,0.11634135243942474
12,0.23765728565289646,0.2379021079925908,0.14285714285714285,0.16666666666666666,0.2,0.006172839506172839,0.23479774181343163,0.2072267313564505,0.13333333333333333,0.0,7,712,205,205,0.11806919430733699
13,0.23765728565289646,0.23888601799866532,0.2857142857142857,0.26666666666666666,0.3111111111111111,0.009876543209876543,0.26100230647953476,0.25613977483471134,0.03333333333333333,0.0,0,013,188,183,0.10827809038916758
14,0.23765728565289646,0.23847307093972434,0.2857142857142857,0.2,0.16666666666666666,0.009876543209876543,0.25001329549052376,0.2507049922260157,0.0,1.0,1,114,200,196,0.11518945786081658
15,0.23765728565289646,0.23749033104873316,0.14285714285714285,0.16666666666666666,0.2111111111111111,0.007407407407407408,0.22380873082442065,0.22353107918253745,0.06666666666666667,0.0,9,915,202,200,0.11634135243942474
16,0.23765728565289646,0.23840958415923333,0.2857142857142857,0.23333333333333334,0.15555555555555556,0.009876543209876543,0.24832267841529132,0.25613977483471134,0.1,0.0,4,416,193,189,0.11115782683568799
17,0.23765728565289646,0.23799720315081588,0.14285714285714285,0.3333333333333333,0.28888888888888886,0.016049382716049384,0.23733366742628034,0.23440064439992875,0.13333333333333333,0.0,8,817,194,190,0.11173377412499208
18,0.23765728565289646,0.2378070389729399,0.14285714285714285,0.3,0.25555555555555554,0.012345679012345678,0.23226181620058295,0.2507049922260157,0.03333333333333333,0.0,7,718,206,205,0.11864514159664108
19,0.23765728565289646,0.23828264543388433,0.14285714285714285,0.23333333333333334,0.2777777777777778,0.008641975308641976,0.2449414442648264,0.21266151396514615,0.1,0.0,8,819,195,195,0.11230972141429617
20,0.23765728565289646,0.23787041541497442,0.2857142857142857,0.3333333333333333,0.2222222222222222,0.017283950617283952,0.2339524332758154,0.2670093400521027,0.03333333333333333,0.0,1,120,201,199,0.11576540515012067
21,0.23765728565289646,0.23825091801047554,0.14285714285714285,0.26666666666666666,0.23333333333333334,0.011111111111111112,0.24409613572721017,0.261574557443407,0.16666666666666666,0.0,2,221,198,197,0.11403756328220842
22,0.23765728565289646,0.23831437576055092,0.14285714285714285,0.23333333333333334,0.2,0.012345679012345678,0.24578675280244264,0.2507049922260157,0.06666666666666667,0.0,3,322,192,189,0.11058187954638392
23,0.23765728565289646,0.2378070389729399,0.14285714285714285,0.13333333333333333,0.18888888888888888,0.006172839506172839,0.23226181620058295,0.2072267313564505,0.2,0.0,7,723,181,178,0.104246459364039
24,0.23765728565289646,0.2381874718737763,0.14285714285714285,0.16666666666666666,0.23333333333333334,0.008641975308641976,0.2424055186519777,0.2670093400521027,0.0,1.0,2,224,199,199,0.11461351057151249
25,0.23765728565289646,0.23828264543388433,0.14285714285714285,0.1,0.15555555555555556,0.003703703703703704,0.2449414442648264,0.23440064439992875,0.2,0.0,5,525,191,189,0.11000593225707983
26,0.23765728565289646,0.23774367414906858,0.2857142857142857,0.3333333333333333,0.25555555555555554,0.014814814814814815,0.23057119912535048,0.24527020961732007,0.13333333333333333,0.0,3,326,191,189,0.11000593225707983
27,0.23765728565289646,0.2379021079925908,0.2857142857142857,0.16666666666666666,0.25555555555555554,0.007407407407407408,0.23479774181343163,0.23983542700862442,0.0,1.0,5,527,193,192,0.11115782683568799
28,0.23765728565289646,0.23758531292329382,0.42857142857142855,0.2,0.15555555555555556,0.008641975308641976,0.22634465643726934,0.21266151396514615,0.1,0.0,4,428,179,178,0.10309456478543083
29,0.23765728565289646,0.23752198876831526,0.14285714285714285,0.2,0.2,0.008641975308641976,0.22465403936203687,0.18548760092166788,0.16666666666666666,0.0,4,429,187,184,0.1077021430998635
30,0.23765728565289646,0.2376169793585223,0.14285714285714285,0.13333333333333333,0.16666666666666666,0.0049382716049382715,0.22718996497488558,0.2289658617912331,0.03333333333333333,0.0,4,430,183,180,0.10539835394264717
31,0.23765728565289646,0.23783872574172915,0.2857142857142857,0.2,0.2222222222222222,0.008641975308641976,0.2331071247381992,0.21266151396514615,0.1,0.0,8,831,196,189,0.11288566870360024
32,0.23765728565289646,0.23894959184424638,0.14285714285714285,0.26666666666666666,0.3,0.012345679012345678,0.26269292355476725,0.2941832530955809,0.2,0.0,6,632,189,185,0.10885403767847167
33,0.23765728565289646,0.23771199609415566,0.14285714285714285,0.26666666666666666,0.25555555555555554,0.017283950617283952,0.22972589058773427,0.23983542700862442,0.13333333333333333,0.0,6,633,185,180,0.10655024852125533
34,0.23765728565289646,0.2372055423247511,0.2857142857142857,0.4666666666666667,0.3,0.024691358024691357,0.21620095398587458,0.21266151396514615,0.0,1.0,6,634,192,191,0.11058187954638392
35,0.23765728565289646,0.2380289073450655,0.2857142857142857,0.3333333333333333,0.25555555555555554,0.012345679012345678,0.23817897596389656,0.2724441226607983,0.06666666666666667,0.0,3,335,181,179,0.104246459364039
36,0.23765728565289646,0.23834610899038897,0.42857142857142855,0.26666666666666666,0.26666666666666666,0.011111111111111112,0.24663206134005886,0.23983542700862442,0.0,1.0,7,736,203,200,0.11691729972872883
37,0.23765728565289646,0.23730044574721007,0.5714285714285714,0.3,0.28888888888888886,0.011111111111111112,0.2187368795987233,0.21266151396514615,0.0,1.0,4,437,184,181,0.10597430123195126
38,0.23765728565289646,0.23730044574721007,0.2857142857142857,0.3333333333333333,0.26666666666666666,0.014814814814814815,0.2187368795987233,0.20179194874775486,0.06666666666666667,0.0,1,138,206,205,0.11864514159664108
39,0.23765728565289646,0.2379655018605967,0.2857142857142857,0.23333333333333334,0.17777777777777778,0.008641975308641976,0.2364883588886641,0.25613977483471134,0.06666666666666667,0.0,9,939,190,187,0.10942998496777574
40,0.23765728565289646,0.23758531292329382,0.2857142857142857,0.3,0.25555555555555554,0.014814814814814815,0.22634465643726934,0.21266151396514615,0.06666666666666667,0.0,1,140,190,188,0.10942998496777574
41,0.23765728565289646,0.23787041541497442,0.2857142857142857,0.16666666666666666,0.2,0.006172839506172839,0.2339524332758154,0.25613977483471134,0.03333333333333333,0.0,8,841,207,205,0.11922108888594515
42,0.23765728565289646,0.23812403735114207,0.14285714285714285,0.2,0.2222222222222222,0.007407407407407408,0.24071490157674524,0.24527020961732007,0.0,1.0,4,442,191,190,0.11000593225707983
43,0.23765728565289646,0.2379655018605967,0.2857142857142857,0.3333333333333333,0.2222222222222222,0.013580246913580245,0.2364883588886641,0.261574557443407,0.0,1.0,4,443,200,195,0.11518945786081658
44,0.23765728565289646,0.23825091801047554,0.14285714285714285,0.3,0.2111111111111111,0.013580246913580245,0.24409613572721017,0.2996180357042766,0.06666666666666667,0.0,3,344,224,219,0.12901219280411458
45,0.23765728565289646,0.23815575316065804,0.14285714285714285,0.13333333333333333,0.2,0.0049382716049382715,0.2415602101143615,0.23983542700862442,0.13333333333333333,0.0,2,245,184,183,0.10597430123195126
