number,probability,raw_model_probability,hit_rate_7,hit_rate_30,hit_rate_90,position_rate_30,bayes_long_rate,bayes_weekday_rate,gap_norm,prev_hit,historical_best_prefix_digit,historical_best_3digit,historical_best_3digit_count,historical_best_3digit_hit_draws,historical_best_3digit_position_rate_pct
00,0.23765728565289646,0.23744458110074163,0.42857142857142855,0.26666666666666666,0.23333333333333334,0.012345679012345678,0.22296342228680444,0.2289658617912331,0.06666666666666667,0.0,2,200,195,195,0.11226510685335299
01,0.23765728565289646,0.23767228866925036,0.14285714285714285,0.13333333333333333,0.2,0.006172839506172839,0.22888058205011805,0.2724441226607983,0.03333333333333333,0.0,1,101,191,187,0.10996223286661753
02,0.23765728565289646,0.23790014648112312,0.2857142857142857,0.2,0.2111111111111111,0.007407407407407408,0.23479774181343163,0.23440064439992875,0.03333333333333333,0.0,2,202,197,195,0.1134165438467207
03,0.23765728565289646,0.23816073934002446,0.2857142857142857,0.3,0.25555555555555554,0.011111111111111112,0.2415602101143615,0.22353107918253745,0.16666666666666666,0.0,4,403,194,194,0.11168938835666913
04,0.23765728565289646,0.23708705854957127,0.2857142857142857,0.26666666666666666,0.25555555555555554,0.011111111111111112,0.2136650283730259,0.1963571661390592,0.03333333333333333,0.0,6,604,198,193,0.11399226234340457
05,0.23765728565289646,0.23767228866925036,0.2857142857142857,0.13333333333333333,0.24444444444444444,0.0049382716049382715,0.22888058205011805,0.24527020961732007,0.0,1.0,4,405,191,190,0.10996223286661753
06,0.23765728565289646,0.23803041838914413,0.42857142857142855,0.23333333333333334,0.3,0.008641975308641976,0.23817897596389656,0.23983542700862442,0.1,0.0,9,906,201,198,0.11571941783345616
07,0.23765728565289646,0.23773737557163072,0.2857142857142857,0.3,0.2,0.012345679012345678,0.23057119912535048,0.24527020961732007,0.13333333333333333,0.0,4,407,191,189,0.10996223286661753
08,0.23765728565289646,0.23760721403163604,0.42857142857142855,0.23333333333333334,0.2222222222222222,0.008641975308641976,0.22718996497488558,0.2724441226607983,0.06666666666666667,0.0,2,208,202,201,0.11629513633014002
09,0.23765728565289646,0.23845414076160237,0.14285714285714285,0.2,0.2111111111111111,0.008641975308641976,0.24916798695290757,0.18005281831297223,0.0,1.0,0,009,191,188,0.10996223286661753
10,0.23765728565289646,0.23855199639019198,0.2857142857142857,0.26666666666666666,0.25555555555555554,0.009876543209876543,0.25170391256575625,0.2180962965738418,0.06666666666666667,0.0,9,910,210,209,0.1209008843036109
11,0.23765728565289646,0.238062994029328,0.2857142857142857,0.3,0.28888888888888886,0.013580246913580245,0.2390242845015128,0.23983542700862442,0.13333333333333333,0.0,1,111,202,201,0.11629513633014002
12,0.23765728565289646,0.2379652763044056,0.2857142857142857,0.2,0.2111111111111111,0.007407407407407408,0.2364883588886641,0.22353107918253745,0.0,1.0,7,712,205,205,0.1180222918201916
13,0.23765728565289646,0.23891103624560955,0.14285714285714285,0.26666666666666666,0.2777777777777778,0.009876543209876543,0.26100230647953476,0.23440064439992875,0.13333333333333333,0.0,0,013,188,183,0.10823507737656596
14,0.23765728565289646,0.23851937478352217,0.2857142857142857,0.2,0.16666666666666666,0.008641975308641976,0.25085860402814003,0.25613977483471134,0.03333333333333333,0.0,1,114,201,197,0.11571941783345616
15,0.23765728565289646,0.23744458110074163,0.14285714285714285,0.13333333333333333,0.2111111111111111,0.006172839506172839,0.22296342228680444,0.2072267313564505,0.16666666666666666,0.0,9,915,202,200,0.11629513633014002
16,0.23765728565289646,0.23838891899553788,0.14285714285714285,0.23333333333333334,0.15555555555555556,0.009876543209876543,0.2474773698776751,0.2507049922260157,0.2,0.0,4,416,193,189,0.11111366985998526
17,0.23765728565289646,0.23799784581413913,0.0,0.26666666666666666,0.2777777777777778,0.013580246913580245,0.23733366742628034,0.21266151396514615,0.23333333333333334,0.0,8,817,194,190,0.11168938835666913
18,0.23765728565289646,0.23780247473804492,0.14285714285714285,0.26666666666666666,0.24444444444444444,0.011111111111111112,0.23226181620058295,0.19092238353036353,0.13333333333333333,0.0,7,718,206,205,0.11859801031687546
19,0.23765728565289646,0.23832370948608145,0.2857142857142857,0.23333333333333334,0.28888888888888886,0.008641975308641976,0.24578675280244264,0.3213571661390592,0.03333333333333333,0.0,8,819,195,195,0.11226510685335299
20,0.23765728565289646,0.2378675861677588,0.14285714285714285,0.23333333333333334,0.2222222222222222,0.011111111111111112,0.2339524332758154,0.2724441226607983,0.13333333333333333,0.0,1,120,201,199,0.11571941783345616
21,0.23765728565289646,0.23829110932781605,0.2857142857142857,0.3,0.24444444444444444,0.012345679012345678,0.2449414442648264,0.25613977483471134,0.0,1.0,2,221,198,197,0.11399226234340457
