metric,value
cv_brier,0.18107203362985283
cv_log_loss,0.5481328270161894
baseline_brier,0.18107203362985283
baseline_log_loss,0.5481328270161894
brier_improvement,0.0
theoretical_baseline,0.23765728565289646
selected_feature_set,long_only
selected_l2,10.0
selected_blend,0.0
observed_draws,1083
target_date,2026-08-22
forecast_kind,live_pre_draw
generated_at_utc,2026-08-22T09:17:42+00:00
data_cutoff_date,2026-08-21
history_calendar_start,2023-08-23
history_calendar_end,2026-08-21
upstream_max_date_seen,2026-08-21
