metric,value
cv_brier,0.18101405733938936
cv_log_loss,0.5480040351320705
baseline_brier,0.18101405733938936
baseline_log_loss,0.5480040351320705
brier_improvement,0.0
theoretical_baseline,0.23765728565289646
selected_feature_set,long_only
selected_l2,10.0
selected_blend,0.0
observed_draws,1082
target_date,2026-08-28
forecast_kind,live_pre_draw
generated_at_utc,2026-08-27T19:20:09+00:00
data_cutoff_date,2026-08-27
history_calendar_start,2023-08-29
history_calendar_end,2026-08-27
upstream_max_date_seen,2026-08-26
