metric,value
cv_brier,0.1810430454846211
cv_log_loss,0.54806843107413
baseline_brier,0.1810430454846211
baseline_log_loss,0.54806843107413
brier_improvement,0.0
theoretical_baseline,0.23765728565289646
selected_feature_set,long_only
selected_l2,10.0
selected_blend,0.0
observed_draws,1082
target_date,2026-08-29
forecast_kind,live_pre_draw
generated_at_utc,2026-08-28T20:29:23+00:00
data_cutoff_date,2026-08-28
history_calendar_start,2023-08-30
history_calendar_end,2026-08-28
upstream_max_date_seen,2026-08-27
