metric,value
cv_brier,0.1809270929036942
cv_log_loss,0.547810847305892
baseline_brier,0.1809270929036942
baseline_log_loss,0.547810847305892
brier_improvement,0.0
theoretical_baseline,0.23765728565289646
selected_feature_set,long_only
selected_l2,10.0
selected_blend,0.0
observed_draws,1083
target_date,2026-09-17
forecast_kind,live_pre_draw
generated_at_utc,2026-09-17T13:56:32+00:00
data_cutoff_date,2026-09-16
history_calendar_start,2023-09-18
history_calendar_end,2026-09-16
upstream_max_date_seen,2026-09-16
