number,probability,raw_model_probability,hit_rate_7,hit_rate_30,hit_rate_90,position_rate_30,bayes_long_rate,bayes_weekday_rate,gap_norm,prev_hit,historical_best_prefix_digit,historical_best_3digit,historical_best_3digit_count,historical_best_3digit_hit_draws,historical_best_3digit_position_rate_pct
00,0.23765728565289646,0.23777830391817853,0.5714285714285714,0.3,0.28888888888888886,0.012345679012345678,0.22718996497488558,0.261574557443407,0.03333333333333333,0.0,2,200,193,193,0.11149753318929162
01,0.23765728565289646,0.23777830391817853,0.0,0.13333333333333333,0.2222222222222222,0.0049382716049382715,0.22718996497488558,0.22353107918253745,0.4,0.0,1,101,191,187,0.11034211833758911
02,0.23765728565289646,0.23783738943488453,0.0,0.3,0.2,0.012345679012345678,0.2331071247381992,0.20179194874775486,0.26666666666666666,0.0,2,202,197,195,0.11380836289269662
03,0.23765728565289646,0.2379133713681184,0.0,0.13333333333333333,0.18888888888888888,0.006172839506172839,0.24071490157674524,0.20179194874775486,0.26666666666666666,0.0,4,403,193,193,0.11149753318929162
04,0.23765728565289646,0.23765172610847704,0.2857142857142857,0.3,0.2222222222222222,0.012345679012345678,0.2145103369106421,0.18548760092166788,0.0,1.0,6,604,198,193,0.11438607031854787
05,0.23765728565289646,0.23780362504574554,0.14285714285714285,0.3,0.26666666666666666,0.014814814814814815,0.22972589058773427,0.22353107918253745,0.13333333333333333,0.0,4,405,191,190,0.11034211833758911
06,0.23765728565289646,0.23787959955892218,0.2857142857142857,0.26666666666666666,0.32222222222222224,0.013580246913580245,0.23733366742628034,0.2507049922260157,0.06666666666666667,0.0,9,906,200,197,0.11554148517025038
07,0.23765728565289646,0.23777830391817853,0.0,0.06666666666666667,0.18888888888888888,0.0024691358024691358,0.22718996497488558,0.2670093400521027,0.5333333333333333,0.0,4,407,191,189,0.11034211833758911
08,0.23765728565289646,0.23778674408790848,0.5714285714285714,0.26666666666666666,0.2111111111111111,0.009876543209876543,0.2280352735125018,0.22353107918253745,0.06666666666666667,0.0,2,208,201,200,0.11611919259610164
09,0.23765728565289646,0.23804004502133358,0.2857142857142857,0.23333333333333334,0.2222222222222222,0.009876543209876543,0.2533945296409887,0.23440064439992875,0.13333333333333333,0.0,0,009,191,188,0.11034211833758911
10,0.23765728565289646,0.2380315986685125,0.14285714285714285,0.3333333333333333,0.25555555555555554,0.013580246913580245,0.25254922110337247,0.25613977483471134,0.06666666666666667,0.0,9,910,209,208,0.12074085200291164
11,0.23765728565289646,0.23789648505130936,0.14285714285714285,0.2,0.24444444444444444,0.007407407407407408,0.2390242845015128,0.2289658617912331,0.16666666666666666,0.0,1,111,202,201,0.11669690002195288
12,0.23765728565289646,0.23787959955892218,0.2857142857142857,0.3,0.25555555555555554,0.011111111111111112,0.23733366742628034,0.18548760092166788,0.03333333333333333,0.0,7,712,205,205,0.11843002229950664
13,0.23765728565289646,0.23809917526117622,0.14285714285714285,0.2,0.3,0.008641975308641976,0.2593116894043023,0.24527020961732007,0.0,1.0,0,013,187,182,0.1080312886341841
14,0.23765728565289646,0.2380569383452083,0.42857142857142855,0.2,0.2222222222222222,0.009876543209876543,0.2550851467162212,0.21266151396514615,0.03333333333333333,0.0,1,114,200,196,0.11554148517025038
15,0.23765728565289646,0.23778674408790848,0.2857142857142857,0.3,0.2111111111111111,0.012345679012345678,0.2280352735125018,0.2289658617912331,0.06666666666666667,0.0,9,915,202,200,0.11669690002195288
16,0.23765728565289646,0.237964035264948,0.14285714285714285,0.1,0.16666666666666666,0.003703703703703704,0.24578675280244264,0.261574557443407,0.0,1.0,4,416,193,189,0.11149753318929162
17,0.23765728565289646,0.23786271489096983,0.42857142857142855,0.3333333333333333,0.26666666666666666,0.016049382716049384,0.23564305035104788,0.2670093400521027,0.03333333333333333,0.0,8,817,191,187,0.11034211833758911
18,0.23765728565289646,0.23781206583384962,0.2857142857142857,0.26666666666666666,0.24444444444444444,0.013580246913580245,0.23057119912535048,0.30505281831297226,0.1,0.0,7,718,206,205,0.11900772972535789
