number,probability,raw_model_probability,long_rate,short_rate,recent_long_rate,weekday_rate,gap_signal
572,0.023444773191585493,0.03434894572916875,0.03434894572916875,0.011374381089274133,0.0280410477559408,0.031135005779650025,0.02253644039821515
662,0.023444773191585493,0.03434894572916875,0.03434894572916875,0.019707714422607468,0.022485492200385242,0.031135005779650025,0.02182364584995397
983,0.023331065042501476,0.03245380991110179,0.03245380991110179,0.036374381089274134,0.036374381089274134,0.01757568374575172,0.021459665655097198
186,0.02329316232614014,0.031822097971746136,0.031822097971746136,0.0280410477559408,0.0280410477559408,0.027745175271175447,0.022081465154644184
369,0.02329316232614014,0.031822097971746136,0.031822097971746136,0.044707714422607465,0.0280410477559408,0.041304497305073753,0.021429333972192464
432,0.02329316232614014,0.031822097971746136,0.031822097971746136,0.0530410477559408,0.03359660331149635,0.024355344762700872,0.0214141681307401
484,0.02329316232614014,0.031822097971746136,0.031822097971746136,0.019707714422607468,0.022485492200385242,0.027745175271175447,0.021732650801239775
526,0.02329316232614014,0.031822097971746136,0.031822097971746136,0.0530410477559408,0.030818825533718577,0.014185853237277142,0.021535494862359023
697,0.02329316232614014,0.031822097971746136,0.031822097971746136,0.019707714422607468,0.0280410477559408,0.01757568374575172,0.02159615822816849
053,0.023255259609778797,0.03119038603239048,0.03119038603239048,0.011374381089274133,0.01692993664482969,0.020965514254226294,0.022809425544357727
592,0.023255259609778797,0.03119038603239048,0.03119038603239048,0.036374381089274134,0.030818825533718577,0.014185853237277142,0.021535494862359023
114,0.02321735689341746,0.030558674093034827,0.030558674093034827,0.0280410477559408,0.036374381089274134,0.024355344762700872,0.02188430921576343
294,0.02321735689341746,0.030558674093034827,0.030558674093034827,0.019707714422607468,0.030818825533718577,0.031135005779650025,0.02168715327688268
370,0.02321735689341746,0.030558674093034827,0.030558674093034827,0.019707714422607468,0.02526326997816302,0.01757568374575172,0.022096630996096548
645,0.02321735689341746,0.030558674093034827,0.030558674093034827,0.036374381089274134,0.0280410477559408,0.037914666796599175,0.021459665655097198
653,0.02321735689341746,0.030558674093034827,0.030558674093034827,0.0280410477559408,0.0280410477559408,0.024355344762700872,0.021944972581572894
811,0.02321735689341746,0.030558674093034827,0.030558674093034827,0.044707714422607465,0.030818825533718577,0.031135005779650025,0.0214141681307401
073,0.02317945417705612,0.02992696215367917,0.02992696215367917,0.0280410477559408,0.030818825533718577,0.027745175271175447,0.02147483149654956
179,0.02317945417705612,0.02992696215367917,0.02992696215367917,0.0280410477559408,0.030818825533718577,0.027745175271175447,0.02212696267900128
213,0.02317945417705612,0.02992696215367917,0.02992696215367917,0.019707714422607468,0.02526326997816302,0.027745175271175447,0.02138383644783537
867,0.02317945417705612,0.02992696215367917,0.02992696215367917,0.036374381089274134,0.022485492200385242,0.027745175271175447,0.021808480008501604
878,0.02317945417705612,0.02992696215367917,0.02992696215367917,0.011374381089274133,0.019707714422607468,0.024355344762700872,0.022551606239667513
000,0.02314155146069478,0.02929525021432352,0.02929525021432352,0.0280410477559408,0.03359660331149635,0.034524836288124604,0.021641655752525583
079,0.02314155146069478,0.02929525021432352,0.02929525021432352,0.019707714422607468,0.019707714422607468,0.01757568374575172,0.02171748495978741
080,0.02314155146069478,0.02929525021432352,0.02929525021432352,0.0530410477559408,0.04192993664482969,0.020965514254226294,0.021399002289287733
092,0.02314155146069478,0.02929525021432352,0.02929525021432352,0.011374381089274133,0.030818825533718577,0.041304497305073753,0.022308952776429667
119,0.02314155146069478,0.02929525021432352,0.02929525021432352,0.036374381089274134,0.022485492200385242,0.024355344762700872,0.02159615822816849
124,0.02314155146069478,0.02929525021432352,0.02929525021432352,0.011374381089274133,0.022485492200385242,0.01757568374575172,0.022369616142239125
612,0.02314155146069478,0.02929525021432352,0.02929525021432352,0.036374381089274134,0.0280410477559408,0.014185853237277142,0.021459665655097198
676,0.02314155146069478,0.02929525021432352,0.02929525021432352,0.0280410477559408,0.0280410477559408,0.014185853237277142,0.02155066070381139
724,0.02314155146069478,0.02929525021432352,0.02929525021432352,0.061374381089274135,0.03359660331149635,0.027745175271175447,0.02148999733800193
854,0.02314155146069478,0.02929525021432352,0.02929525021432352,0.036374381089274134,0.0280410477559408,0.027745175271175447,0.02171748495978741
052,0.02310364874433344,0.028663538274967867,0.028663538274967867,0.0280410477559408,0.030818825533718577,0.031135005779650025,0.02171748495978741
057,0.02310364874433344,0.028663538274967867,0.028663538274967867,0.036374381089274134,0.030818825533718577,0.020965514254226294,0.021975304264477625
243,0.02310364874433344,0.028663538274967867,0.028663538274967867,0.011374381089274133,0.0280410477559408,0.024355344762700872,0.022415113666596223
267,0.02310364874433344,0.028663538274967867,0.028663538274967867,0.011374381089274133,0.0280410477559408,0.01757568374575172,0.02246061119095332
356,0.02310364874433344,0.028663538274967867,0.028663538274967867,0.0280410477559408,0.02526326997816302,0.01757568374575172,0.022096630996096548
