number,probability,raw_model_probability,hit_rate_7,hit_rate_30,hit_rate_90,position_rate_30,bayes_long_rate,bayes_weekday_rate,gap_norm,prev_hit
00,0.23765728565289646,0.23739216701374133,0.0,0.26666666666666666,0.24444444444444444,0.011111111111111112,0.2221181137491882,0.23440064439992875,0.5,0.0
01,0.23765728565289646,0.23766076409545617,0.14285714285714285,0.1,0.2,0.0049382716049382715,0.22888058205011805,0.2724441226607983,0.0,1.0
02,0.23765728565289646,0.23789595806078365,0.14285714285714285,0.2,0.2111111111111111,0.008641975308641976,0.23479774181343163,0.23983542700862442,0.16666666666666666,0.0
03,0.23765728565289646,0.23816494713908656,0.2857142857142857,0.26666666666666666,0.23333333333333334,0.009876543209876543,0.2415602101143615,0.2180962965738418,0.03333333333333333,0.0
04,0.23765728565289646,0.23709024528539266,0.14285714285714285,0.26666666666666666,0.24444444444444444,0.009876543209876543,0.2145103369106421,0.20179194874775486,0.03333333333333333,0.0
05,0.23765728565289646,0.23766076409545617,0.2857142857142857,0.13333333333333333,0.25555555555555554,0.0049382716049382715,0.22888058205011805,0.24527020961732007,0.1,0.0
06,0.23765728565289646,0.23796318573467973,0.14285714285714285,0.2,0.28888888888888886,0.007407407407407408,0.2364883588886641,0.23983542700862442,0.06666666666666667,0.0
07,0.23765728565289646,0.2376943534331888,0.14285714285714285,0.23333333333333334,0.2111111111111111,0.008641975308641976,0.22972589058773427,0.24527020961732007,0.2,0.0
08,0.23765728565289646,0.23756001568461418,0.14285714285714285,0.23333333333333334,0.2,0.008641975308641976,0.22634465643726934,0.2670093400521027,0.1,0.0
09,0.23765728565289646,0.23850147737303012,0.0,0.23333333333333334,0.2222222222222222,0.008641975308641976,0.25001329549052376,0.18548760092166788,0.3,0.0
10,0.23765728565289646,0.2386361808766754,0.42857142857142855,0.23333333333333334,0.25555555555555554,0.008641975308641976,0.2533945296409887,0.2180962965738418,0.1,0.0
11,0.23765728565289646,0.23806405174088788,0.42857142857142855,0.3,0.2777777777777778,0.013580246913580245,0.2390242845015128,0.23440064439992875,0.03333333333333333,0.0
12,0.23765728565289646,0.23796318573467973,0.2857142857142857,0.2,0.2222222222222222,0.007407407407407408,0.2364883588886641,0.2289658617912331,0.0,1.0
13,0.23765728565289646,0.23897316810267774,0.2857142857142857,0.23333333333333334,0.3111111111111111,0.008641975308641976,0.261847615017151,0.23440064439992875,0.03333333333333333,0.0
14,0.23765728565289646,0.23853514835254358,0.14285714285714285,0.23333333333333334,0.17777777777777778,0.011111111111111112,0.25085860402814003,0.25613977483471134,0.06666666666666667,0.0
15,0.23765728565289646,0.23745929667941124,0.14285714285714285,0.13333333333333333,0.2111111111111111,0.0049382716049382715,0.22380873082442065,0.2072267313564505,0.13333333333333333,0.0
16,0.23765728565289646,0.23840048402153557,0.42857142857142855,0.23333333333333334,0.14444444444444443,0.009876543209876543,0.2474773698776751,0.24527020961732007,0.0,1.0
17,0.23765728565289646,0.23803042647290568,0.2857142857142857,0.43333333333333335,0.3,0.022222222222222223,0.23817897596389656,0.21266151396514615,0.0,1.0
18,0.23765728565289646,0.23776154190922888,0.14285714285714285,0.3,0.25555555555555554,0.012345679012345678,0.23141650766296673,0.19092238353036353,0.1,0.0
19,0.23765728565289646,0.23829952005278415,0.14285714285714285,0.23333333333333334,0.2777777777777778,0.008641975308641976,0.2449414442648264,0.31592238353036356,0.16666666666666666,0.0
20,0.23765728565289646,0.23789595806078365,0.42857142857142855,0.3333333333333333,0.23333333333333334,0.018518518518518517,0.23479774181343163,0.2724441226607983,0.0,1.0
21,0.23765728565289646,0.23829952005278415,0.42857142857142855,0.3333333333333333,0.24444444444444444,0.016049382716049384,0.2449414442648264,0.25613977483471134,0.03333333333333333,0.0
22,0.23765728565289646,0.23833317144411317,0.14285714285714285,0.3333333333333333,0.2,0.014814814814814815,0.24578675280244264,0.2670093400521027,0.13333333333333333,0.0
23,0.23765728565289646,0.23786234912321327,0.14285714285714285,0.13333333333333333,0.2111111111111111,0.006172839506172839,0.2339524332758154,0.2289658617912331,0.06666666666666667,0.0
24,0.23765728565289646,0.23816494713908656,0.0,0.16666666666666666,0.2222222222222222,0.007407407407407408,0.2415602101143615,0.21266151396514615,0.3333333333333333,0.0
25,0.23765728565289646,0.23833317144411317,0.14285714285714285,0.13333333333333333,0.15555555555555556,0.0049382716049382715,0.24578675280244264,0.277878905269494,0.06666666666666667,0.0
26,0.23765728565289646,0.2377951410473348,0.5714285714285714,0.36666666666666664,0.2777777777777778,0.016049382716049384,0.23226181620058295,0.2072267313564505,0.0,1.0
27,0.23765728565289646,0.2378287434520299,0.0,0.16666666666666666,0.25555555555555554,0.007407407407407408,0.2331071247381992,0.2289658617912331,0.5333333333333333,0.0
28,0.23765728565289646,0.23759359522106846,0.2857142857142857,0.16666666666666666,0.17777777777777778,0.007407407407407408,0.22718996497488558,0.19092238353036353,0.0,1.0
29,0.23765728565289646,0.23756001568461418,0.2857142857142857,0.23333333333333334,0.2,0.009876543209876543,0.22634465643726934,0.2507049922260157,0.03333333333333333,0.0
30,0.23765728565289646,0.23756001568461418,0.14285714285714285,0.1,0.17777777777777778,0.003703703703703704,0.22634465643726934,0.22353107918253745,0.2,0.0
31,0.23765728565289646,0.2377951410473348,0.2857142857142857,0.2,0.2222222222222222,0.008641975308641976,0.23226181620058295,0.261574557443407,0.03333333333333333,0.0
32,0.23765728565289646,0.23904060470691485,0.2857142857142857,0.3333333333333333,0.32222222222222224,0.014814814814814815,0.2635382320923835,0.277878905269494,0.06666666666666667,0.0
33,0.23765728565289646,0.23772794603781328,0.2857142857142857,0.26666666666666666,0.25555555555555554,0.017283950617283952,0.23057119912535048,0.22353107918253745,0.0,1.0
34,0.23765728565289646,0.23709024528539266,0.2857142857142857,0.4666666666666667,0.2777777777777778,0.022222222222222223,0.2145103369106421,0.261574557443407,0.1,0.0
35,0.23765728565289646,0.23806405174088788,0.14285714285714285,0.3,0.25555555555555554,0.011111111111111112,0.2390242845015128,0.261574557443407,0.0,1.0
36,0.23765728565289646,0.23833317144411317,0.14285714285714285,0.23333333333333334,0.25555555555555554,0.011111111111111112,0.24578675280244264,0.22353107918253745,0.06666666666666667,0.0
