number,draw_presence_2y,presence_rate_2y,occurrences_2y,occurrence_rate_per_prize,presence_prev_year,presence_rate_prev_year,presence_recent_year,presence_rate_recent_year,presence_rate_delta_recent_minus_prev,occurrences_prev_year,occurrences_recent_year,presence_last_30,presence_rate_last_30,presence_last_90,presence_rate_last_90,presence_last_180,presence_rate_last_180,current_gap_draws,max_gap_draws_2y,longest_presence_streak_2y,special_hits_2y,special_hits_prev_year,special_hits_recent_year
41,159,0.22022160664819945,175,0.008977121165486816,76,0.21052631578947367,83,0.2299168975069252,0.019390581717451533,84,91,8,0.26666666666666666,20,0.2222222222222222,44,0.24444444444444444,1,24,4,2,1,1
42,180,0.24930747922437674,192,0.009849184364419821,86,0.23822714681440443,94,0.26038781163434904,0.02216066481994461,90,102,9,0.3,20,0.2222222222222222,48,0.26666666666666666,1,18,3,6,3,3
43,170,0.23545706371191136,190,0.009746588693957114,92,0.2548476454293629,78,0.21606648199445982,-0.038781163434903065,102,88,5,0.16666666666666666,16,0.17777777777777778,32,0.17777777777777778,3,19,5,9,3,6
44,172,0.23822714681440443,197,0.010105673540576588,88,0.24376731301939059,84,0.23268698060941828,-0.011080332409972304,102,95,5,0.16666666666666666,15,0.16666666666666666,37,0.20555555555555555,3,18,3,6,4,2
45,177,0.2451523545706371,206,0.010567354057658766,89,0.24653739612188366,88,0.24376731301939059,-0.002770083102493076,101,105,3,0.1,20,0.2222222222222222,45,0.25,15,17,5,5,2,3
46,174,0.2409972299168975,197,0.010105673540576588,84,0.23268698060941828,90,0.24930747922437674,0.016620498614958457,94,103,10,0.3333333333333333,24,0.26666666666666666,45,0.25,2,20,4,7,4,3
47,177,0.2451523545706371,204,0.010464758387196061,93,0.25761772853185594,84,0.23268698060941828,-0.024930747922437657,114,90,8,0.26666666666666666,21,0.23333333333333334,42,0.23333333333333334,3,14,4,7,2,5
48,168,0.23268698060941828,190,0.009746588693957114,85,0.23545706371191136,83,0.2299168975069252,-0.005540166204986152,96,94,6,0.2,22,0.24444444444444444,41,0.22777777777777777,8,17,4,8,3,5
49,178,0.24653739612188366,195,0.010003077870113881,91,0.2520775623268698,87,0.2409972299168975,-0.011080332409972277,99,96,6,0.2,17,0.18888888888888888,36,0.2,1,17,4,5,3,2
50,174,0.2409972299168975,201,0.010310864881502001,84,0.23268698060941828,90,0.24930747922437674,0.016620498614958457,103,98,13,0.43333333333333335,29,0.32222222222222224,51,0.2833333333333333,0,19,5,12,6,6
