metric,value
window_start,2024-08-11
window_end,2026-08-10
observed_draws,722
total_prize_observations,19494
theoretical_presence_probability,0.23765728565289646
mean_empirical_presence_probability,0.23803324099722992
highest_presence_number,13
highest_presence_rate,0.2770083102493075
lowest_presence_number,55
lowest_presence_rate,0.20498614958448755
highest_occurrence_number,91
highest_occurrences,231
longest_current_gap_number,71
longest_current_gap_draws,16
largest_recent_increase_number,83
largest_recent_increase,0.11634349030470911
largest_recent_decrease_number,53
largest_recent_decrease,-0.0692520775623269
