number,draws,occurrences,draws_hit,full_rate,baseline,z_score,p_value_normal,bh_q_value,rate_30,rate_90,rate_365,rate_1095,current_gap_draws
000,7524,170,166,0.022062732589048378,0.022748762178548265,-0.3991032289663599,0.6898171431586075,0.9444399839638302,0.06666666666666667,0.06666666666666667,0.0410958904109589,0.03287671232876712,11
001,7524,169,168,0.022328548644338118,0.022748762178548265,-0.24446260179665805,0.8068725628456673,0.9619235119402324,0.0,0.022222222222222223,0.03287671232876712,0.0228310502283105,32
002,7524,136,135,0.017942583732057416,0.022748762178548265,-2.7960329500967327,0.005173412566698947,0.6347518022496715,0.0,0.011111111111111112,0.021917808219178082,0.0182648401826484,83
003,7524,168,166,0.022062732589048378,0.022748762178548265,-0.3991032289663599,0.6898171431586075,0.9444399839638302,0.06666666666666667,0.022222222222222223,0.019178082191780823,0.025570776255707764,14
004,7524,174,172,0.022860180754917598,0.022748762178548265,0.06481865254274569,0.9483183900985951,0.9786567493277555,0.0,0.011111111111111112,0.0136986301369863,0.01643835616438356,58
005,7524,174,172,0.022860180754917598,0.022748762178548265,0.06481865254274569,0.9483183900985951,0.9786567493277555,0.03333333333333333,0.011111111111111112,0.024657534246575342,0.021917808219178082,5
006,7524,159,158,0.02099946836788942,0.022748762178548265,-1.0176657376451654,0.30883683508398074,0.9157596050401668,0.03333333333333333,0.022222222222222223,0.0136986301369863,0.014611872146118721,0
007,7524,173,171,0.022727272727272728,0.022748762178548265,-0.012501661042105249,0.9900253774956238,0.9900253774956238,0.0,0.0,0.019178082191780823,0.019178082191780823,92
008,7524,156,154,0.02046783625730994,0.022748762178548265,-1.3269469919845691,0.18452621807870678,0.9058011387787752,0.03333333333333333,0.022222222222222223,0.0136986301369863,0.01643835616438356,23
009,7524,191,188,0.024986709197235512,0.022748762178548265,1.3019436699003566,0.1929356425598791,0.9058011387787752,0.06666666666666667,0.022222222222222223,0.030136986301369864,0.025570776255707764,9
010,7524,207,203,0.02698032961190856,0.022748762178548265,2.4617483736731187,0.013826162948309515,0.6579112359286374,0.03333333333333333,0.022222222222222223,0.0273972602739726,0.023744292237442923,22
011,7524,152,152,0.020202020202020204,0.022748762178548265,-1.481587619154269,0.13845005533176702,0.880188878066903,0.0,0.03333333333333333,0.0136986301369863,0.0182648401826484,32
012,7524,179,177,0.023524720893141945,0.022748762178548265,0.4514202204669983,0.6516867125447903,0.9444399839638302,0.06666666666666667,0.03333333333333333,0.021917808219178082,0.0228310502283105,14
013,7524,187,182,0.024189261031366295,0.022748762178548265,0.838021788391253,0.40201846661263324,0.9157596050401668,0.03333333333333333,0.022222222222222223,0.0273972602739726,0.030136986301369864,25
014,7524,186,183,0.024322169059011165,0.022748762178548265,0.9153421019761039,0.3600120631105592,0.9157596050401668,0.0,0.011111111111111112,0.03561643835616438,0.025570776255707764,64
