window,evaluated_draws,model_brier,baseline_brier,brier_improvement,model_log_loss,baseline_log_loss,log_loss_improvement,mean_top10_hits,mean_top20_hits,brier_wins_vs_baseline
30,4,0.17584692045183453,0.17584692045183453,0.0,0.536525458459968,0.536525458459968,0.0,2.5,4.5,0
60,4,0.17584692045183453,0.17584692045183453,0.0,0.536525458459968,0.536525458459968,0.0,2.5,4.5,0
90,4,0.17584692045183453,0.17584692045183453,0.0,0.536525458459968,0.536525458459968,0.0,2.5,4.5,0
