date,status,brier,baseline_brier,brier_improvement,log_loss,baseline_log_loss,log_loss_improvement,mean_probability,actual_unique_numbers,top10_hits,top20_hits,forecast_sha256
2026-08-11,evaluated,0.171911779736628,0.171911779736628,0.0,0.5277837093253934,0.5277837093253934,0.0,0.23765728565289646,22,2,2,6cca72c015e77785656ab545e4bf906c858fcd83f75f40a003241c318d825b69
2026-08-12,evaluated,0.171911779736628,0.171911779736628,0.0,0.5277837093253934,0.5277837093253934,0.0,0.23765728565289646,22,3,4,b4f485a227e09dfae69e5ab695fd0686fa7592c168bc980a8e2a375739463842
2026-08-13,evaluated,0.171911779736628,0.171911779736628,0.0,0.5277837093253934,0.5277837093253934,0.0,0.23765728565289646,22,1,6,cfdab08c857cc41d55611de9d438988a87e6185cee43ae22c617fae0d049f2a2
2026-08-14,evaluated,0.1876523425974542,0.1876523425974542,0.0,0.5627507058636917,0.5627507058636917,0.0,0.23765728565289646,25,4,6,bd9f9a7bfdf1c4fff02d51cad393eb95700a0796e184538018683d9da124607b
2026-08-15,evaluated,0.171911779736628,0.171911779736628,0.0,0.5277837093253934,0.5277837093253934,0.0,0.23765728565289646,22,2,3,9f8834d9c51bd7c6123f74e75f55e3dfb92aef5bfe2021992f234dc3b3a22ffc
2026-08-16,evaluated,0.17715863402357004,0.17715863402357004,0.0,0.5394393748381595,0.5394393748381595,0.0,0.23765728565289646,23,3,6,15d771528011bbcd5be317a5645f95d9da44da3f4b236c25250b9e3b9fde11af
2026-08-17,evaluated,0.1876523425974542,0.1876523425974542,0.0,0.5627507058636917,0.5627507058636917,0.0,0.23765728565289646,25,1,4,cc4d92cc9f1e7b1a1ae2dea13656802f470510b85e1db38a5b2a374340228496
2026-08-18,evaluated,0.19289919688439627,0.19289919688439627,0.0,0.5744063713764578,0.5744063713764578,0.0,0.23765728565289646,26,1,3,c74e29ffafee28584f7088d9509a66503f0cbd8ba0ef541c2986a16019749015
2026-08-19,evaluated,0.18240548831051215,0.18240548831051215,0.0,0.5510950403509256,0.5510950403509256,0.0,0.23765728565289646,24,1,6,77cfaf350a381d09f4465d8b0b9d3e2389d7e74778b4b72013f72721a1826878
2026-08-20,evaluated,0.17715863402357004,0.17715863402357004,0.0,0.5394393748381595,0.5394393748381595,0.0,0.23765728565289646,23,4,5,9348a25a6e25aea231179d1a48fccfebbdd3ed34485c9d513e03a39cba6e35a9
2026-08-21,evaluated,0.19289919688439627,0.19289919688439627,0.0,0.5744063713764578,0.5744063713764578,0.0,0.23765728565289646,26,1,2,ed89106f71e9ede7143e5e6bff6dc4da05f708a9285d0d3538c3b54e79bc484e
2026-08-22,evaluated,0.18240548831051215,0.18240548831051215,0.0,0.5510950403509256,0.5510950403509256,0.0,0.23765728565289646,24,4,6,3772cfee320a2f2b963107a1b49a2ce9f8c95f35014d1598e3038287a5faa5a6
