month,draws,hits,hit_rate,lift_pp_vs_random
2025-08,20,13,0.65,8.937650017383836
2025-09,30,18,0.6,3.9376500173838314
2025-10,31,18,0.5806451612903226,2.0021661464160956
2025-11,30,20,0.6666666666666666,10.604316684050497
2025-12,31,20,0.6451612903225806,8.453779049641897
2026-01,31,17,0.5483870967741935,-1.2236403051968159
2026-02,24,16,0.6666666666666666,10.604316684050497
2026-03,31,20,0.6451612903225806,8.453779049641897
2026-04,30,18,0.6,3.9376500173838314
2026-05,31,19,0.6129032258064516,5.227972598028996
2026-06,30,22,0.7333333333333333,17.270983350717163
2026-07,31,14,0.45161290322580644,-10.901059660035523
2026-08,15,6,0.4,-16.062349982616166
