candidate,feature_set,l2,online_lr,n,top1_hits,top1_hit_rate,top2_hits,top2_hit_rate,top3_hits,top3_hit_rate,mean_brier
long_l10_lr010,long_only,10.0,0.1,730,141,0.19315068493150686,289,0.3958904109589041,417,0.5712328767123288,0.18141043643218663
long_l100_lr030,long_only,100.0,0.3,730,130,0.1780821917808219,283,0.38767123287671235,408,0.5589041095890411,0.18143780483244676
full_l300_lr010,full,300.0,0.1,730,156,0.2136986301369863,299,0.4095890410958904,405,0.5547945205479452,0.1814904363646679
recency_l300_lr030,recency,300.0,0.3,730,166,0.2273972602739726,298,0.40821917808219177,404,0.5534246575342465,0.18159172181561797
recgap_l300_lr010,recency_gap,300.0,0.1,730,173,0.236986301369863,296,0.4054794520547945,401,0.5493150684931507,0.18147378417248372
full_l1000_lr030,full,1000.0,0.3,730,153,0.2095890410958904,291,0.39863013698630134,395,0.541095890410959,0.18172880109759199
recency_l100_lr010,recency,100.0,0.1,730,173,0.236986301369863,287,0.39315068493150684,387,0.5301369863013699,0.18144491700430856
