date,pick1,prob1,pick1_count,pick1_hit,pick2,prob2,pick2_count,pick2_hit,pick3,prob3,pick3_count,pick3_hit,top1_hit,top2_any_hit,top3_any_hit,picked_hit_count,actual_unique_suffixes,candidate
2025-09-03,51,0.252085593545671,2,1,28,0.24962098908525343,0,0,50,0.249362494600702,1,1,1,1,1,2,08 14 21 33 45 49 50 51 54 55 61 63 70 72 79 80 81 84 88 90 94 99,long_l10_lr010
2025-09-04,51,0.2535149734909974,1,1,28,0.25087513896216157,0,0,50,0.2504369484835955,0,0,1,1,1,1,00 01 03 13 16 19 30 33 37 40 43 45 51 52 54 68 69 70 80 83 88 92,long_l10_lr010
2025-09-05,51,0.25398440929938293,0,0,28,0.2513503715006186,0,0,50,0.25088742965689237,0,0,0,0,0,0,06 11 12 17 18 25 27 32 37 38 45 47 58 65 66 70 75 78 91 94 95 97 98,long_l10_lr010
2025-09-06,51,0.2536247594182267,0,0,28,0.25103261803831806,0,0,50,0.25057701418122885,0,0,0,0,0,0,03 05 08 09 11 13 15 23 31 35 53 55 62 64 67 69 73 80 84 93 96,long_l10_lr010
2025-09-07,51,0.25424418601781995,0,0,28,0.2514836961963575,0,0,50,0.2509986223289349,0,0,0,0,0,0,00 01 09 19 24 32 36 37 40 46 48 53 54 55 56 57 58 62 68 69 77 83 88 97 98,long_l10_lr010
2025-09-08,51,0.2537232989674024,0,0,28,0.2510885369988993,0,0,50,0.2506254716840584,0,0,0,0,0,0,11 12 13 14 17 20 24 26 32 34 37 39 42 52 63 65 68 69 71 74 83 84 87 93,long_l10_lr010
2025-09-09,51,0.2558559092342764,1,1,28,0.252902126359058,0,0,50,0.25238321860209245,0,0,1,1,1,1,01 10 23 25 30 42 43 49 51 53 54 59 60 62 63 68 69 81 82 83 84 85 87 88 90 98,long_l10_lr010
2025-09-10,51,0.25660444645757624,0,0,28,0.25375620232403984,0,0,50,0.25322448552958915,0,0,0,0,0,0,02 05 14 16 17 18 23 24 25 31 33 34 39 40 47 48 54 62 78 81 82 95,long_l10_lr010
2025-09-11,51,0.25656460842972467,0,0,28,0.25368191550086777,0,0,50,0.25314379716728963,1,1,0,0,1,1,01 02 09 12 17 19 26 29 32 36 43 50 53 56 58 60 68 73 83 86 89 92 96,long_l10_lr010
2025-09-12,51,0.25574794700998926,1,1,28,0.2529737308524238,1,1,50,0.2522832949506665,1,1,1,1,1,3,01 03 05 14 18 20 21 22 23 26 28 31 38 43 46 48 49 50 51 65 74 83 84 86,long_l10_lr010
2025-09-13,51,0.2580561837087221,1,1,28,0.2549271046697744,1,1,50,0.25414874660838277,1,1,1,1,1,3,01 02 04 11 14 24 28 29 34 38 50 51 53 57 65 70 74 75 76 80 82 85 89 92 93 97,long_l10_lr010
2025-09-14,51,0.25943420007834145,0,0,28,0.2561392275298183,1,1,50,0.2553197850357532,0,0,0,1,1,1,00 04 07 09 12 14 20 23 25 27 28 33 49 53 60 66 68 69 74 79 82 88 89 92 97,long_l10_lr010
2025-09-15,51,0.2616665828004723,0,0,28,0.25785326988665325,0,0,50,0.25718410961804117,0,0,0,0,0,0,00 01 07 16 19 22 24 26 27 31 32 33 37 44 46 58 60 65 70 82 84 86 88 91 95 99,long_l10_lr010
2025-09-16,51,0.26182424977020363,1,1,28,0.25805917993704924,0,0,50,0.2573984336785794,0,0,1,1,1,1,00 05 11 12 20 21 22 25 26 27 29 30 33 36 45 51 52 68 70 71 72 79 87 89 91 92 96,long_l10_lr010
2025-09-17,51,0.2608296199714924,1,1,28,0.2575000214196276,0,0,50,0.2568788218692413,0,0,1,1,1,1,00 01 05 08 13 14 18 22 23 30 34 41 42 44 51 56 63 64 67 78 80 89,long_l10_lr010
2025-09-18,51,0.26183561658219473,0,0,28,0.2584996166614748,0,0,50,0.2578357490414932,1,1,0,0,1,1,00 02 05 09 11 13 18 23 30 46 50 55 59 65 69 70 71 73 74 75 76 82 88 89 93,long_l10_lr010
2025-09-19,51,0.26246776561675267,0,0,28,0.2590792935548698,1,1,50,0.25818052098264965,0,0,0,1,1,1,13 19 22 23 24 28 38 42 43 45 46 47 53 56 57 62 64 66 77 78 79 83 95 99,long_l10_lr010
2025-09-20,51,0.2606229248125985,0,0,28,0.2573020376738622,1,1,50,0.2566824594453436,0,0,0,1,1,1,14 23 28 34 37 39 40 41 42 45 55 60 62 66 67 68 69 73 74 76 83 86 90 91 92 94,long_l10_lr010
2025-09-21,51,0.26473337380172,0,0,28,0.2606139935611644,1,1,50,0.2601320988342987,0,0,0,1,1,1,03 09 13 15 16 24 25 28 30 39 43 44 61 71 74 75 82 83 87 88 93 94 96 97,long_l10_lr010
2025-09-22,51,0.2647566387499464,0,0,28,0.26040517338256397,0,0,50,0.2601647887571205,1,1,0,0,1,1,01 04 09 10 14 16 20 30 34 38 39 43 50 53 58 61 65 69 70 86 89 94 95 99,long_l10_lr010
2025-09-23,51,0.26505193972337016,0,0,28,0.26066292064281565,0,0,50,0.26017816712604513,0,0,0,0,0,0,02 03 09 11 12 14 16 31 35 37 39 40 43 49 57 58 65 68 73 75 77 82 88 95 99,long_l10_lr010
2025-09-24,51,0.2641386585294908,0,0,28,0.2599487579612138,0,0,50,0.2594858843963105,0,0,0,0,0,0,06 08 09 16 17 18 20 31 32 33 34 44 48 53 57 59 65 66 71 75 82 84 88 92,long_l10_lr010
2025-09-25,51,0.2630761529109515,0,0,28,0.25907793407207036,0,0,50,0.2586361351659011,0,0,0,0,0,0,02 07 09 20 23 24 31 34 37 42 43 49 57 58 63 68 75 79 80 85 89 94 97,long_l10_lr010
2025-09-26,51,0.2616768219922082,0,0,28,0.257895123622385,0,0,50,0.2574771432971245,0,0,0,0,0,0,18 21 23 26 31 34 35 36 38 41 49 55 62 64 67 70 71 77 86 87 91 95 96 98,long_l10_lr010
2025-09-27,51,0.25955872877322284,0,0,28,0.2561437740095781,0,0,50,0.25576615845666395,0,0,0,0,0,0,03 04 12 15 19 20 23 30 31 36 56 59 68 69 71 79 82 84 87 91 92 93,long_l10_lr010
2025-09-28,51,0.25709374259652557,1,1,28,0.25403969987581276,0,0,50,0.25370184263820156,1,1,1,1,1,2,02 03 06 10 16 18 19 25 27 29 31 33 34 39 50 51 56 69 74 82 88 89 90 91 94,long_l10_lr010
2025-09-29,51,0.2625571763403957,0,0,28,0.25881652273502975,0,0,50,0.25816001974410197,1,1,0,0,1,1,04 05 08 18 25 31 35 39 44 48 50 52 54 58 60 63 67 69 75 77 85 86 90 92 99,long_l10_lr010
