date,station,pick1,pick2,pick3,pick1_hit,pick2_hit,pick3_hit,top3_any_hit,long_rate_p1,long_rate_p2,long_rate_p3,rate_7_p1,rate_7_p2,rate_7_p3,rate_14_p1,rate_14_p2,rate_14_p3,rate_30_p1,rate_30_p2,rate_30_p3,month_rate_p1,month_rate_p2,month_rate_p3,station_rate_p1,station_rate_p2,station_rate_p3,station_recent_rate_p1,station_recent_rate_p2,station_recent_rate_p3
2025-08-16,Nam Dinh,26,75,83,0,0,1,1,0.2424757031507998,0.24663154730664397,0.22689128756638421,0.2712971856958689,0.4712971856958689,0.4712971856958689,0.43096244359286756,0.3783308646454991,0.32569928569813067,0.40941432141322415,0.33441432141322414,0.3094143214132241,0.45941432141322414,0.3594143214132241,0.3594143214132241,0.23133179692634337,0.2627304648616431,0.2303803221404252,0.19962214284724136,0.28026730413756396,0.18349311058917686
2025-08-17,Thai Binh,83,26,78,0,0,1,1,0.22741076808586475,0.2424757031507998,0.2289692096443063,0.571297185695869,0.2712971856958689,0.4712971856958689,0.3783308646454991,0.43096244359286756,0.3783308646454991,0.3094143214132241,0.40941432141322415,0.3094143214132241,0.38991840134592776,0.4375374489649754,0.3422993537268801,0.22847737256858885,0.21705967513757077,0.2379921204277706,0.24800923962143492,0.26413827187949945,0.28026730413756396
2025-08-18,Ha Noi,78,81,80,0,0,0,0,0.2289692096443063,0.23883933951443617,0.2315666122417089,0.4712971856958689,0.37129718569586895,0.571297185695869,0.3783308646454991,0.3783308646454991,0.32569928569813067,0.33441432141322414,0.3594143214132241,0.3844143214132241,0.3721948376483856,0.3721948376483856,0.3267402921938401,0.23586608208353554,0.24308456139056153,0.22912883473031131,0.2318802073633704,0.2963963363956285,0.2318802073633704
2025-08-19,Quang Ninh,83,77,78,0,0,0,0,0.22793024860534528,0.2289692096443063,0.2289692096443063,0.4712971856958689,0.4712971856958689,0.4712971856958689,0.43096244359286756,0.3783308646454991,0.3783308646454991,0.33441432141322414,0.3094143214132241,0.33441432141322414,0.3994907142723688,0.44296897514193406,0.35601245340280363,0.22213445784590785,0.20126159257076554,0.2657777216030236,0.19962214284724136,0.18349311058917686,0.312525368653693
2025-08-20,Bac Ninh,77,26,83,0,0,0,0,0.2289692096443063,0.24299518367028033,0.22793024860534528,0.4712971856958689,0.2712971856958689,0.37129718569586895,0.32569928569813067,0.3783308646454991,0.43096244359286756,0.3094143214132241,0.3844143214132241,0.3094143214132241,0.42451193451102015,0.42451193451102015,0.38284526784435347,0.22877582406981678,0.24110978991421905,0.22687829086298567,0.28026730413756396,0.2318802073633704,0.18349311058917686
2025-08-21,Ha Noi,77,78,83,0,0,1,1,0.2289692096443063,0.2294886901637868,0.22793024860534528,0.4712971856958689,0.4712971856958689,0.37129718569586895,0.32569928569813067,0.3783308646454991,0.43096244359286756,0.3094143214132241,0.3594143214132241,0.3094143214132241,0.4075314571305793,0.36753145713057933,0.36753145713057933,0.2347906294226007,0.23575263038460167,0.2453726400046113,0.26413827187949945,0.2318802073633704,0.2318802073633704
2025-08-22,Hai Phong,78,73,77,1,0,0,1,0.2294886901637868,0.21390427457937125,0.2289692096443063,0.4712971856958689,0.37129718569586895,0.4712971856958689,0.3783308646454991,0.3783308646454991,0.27306770675076225,0.3594143214132241,0.3594143214132241,0.3094143214132241,0.3533956318563263,0.3918571703178647,0.3918571703178647,0.22877582406981678,0.24395608972446572,0.2306733572766479,0.28026730413756396,0.2157511751053059,0.2963963363956285
2025-08-23,Nam Dinh,78,51,83,0,1,0,1,0.23000817068326734,0.22065752133261798,0.22793024860534528,0.4712971856958689,0.4712971856958689,0.37129718569586895,0.43096244359286756,0.43096244359286756,0.43096244359286756,0.3594143214132241,0.33441432141322414,0.3094143214132241,0.37734394178757347,0.34030690475053643,0.37734394178757347,0.2339636108075921,0.21590277430569096,0.23111189978097613,0.2157511751053059,0.3286544009117575,0.19962214284724136
2025-08-24,Thai Binh,73,78,51,0,0,1,1,0.21442375509885175,0.23000817068326734,0.22117700185209851,0.37129718569586895,0.37129718569586895,0.4712971856958689,0.3783308646454991,0.43096244359286756,0.43096244359286756,0.3844143214132241,0.33441432141322414,0.3594143214132241,0.39958165815230295,0.36386737243801726,0.36386737243801726,0.23681532183420806,0.23871646251861872,0.2178039149901016,0.28026730413756396,0.2963963363956285,0.18349311058917686
2025-08-25,Ha Noi,51,73,96,1,0,1,1,0.22169648237157902,0.21442375509885175,0.2502679109430076,0.4712971856958689,0.37129718569586895,0.571297185695869,0.43096244359286756,0.3783308646454991,0.43096244359286756,0.3844143214132241,0.3594143214132241,0.2844143214132241,0.38580298028498217,0.38580298028498217,0.3168374630436029,0.20967774931230138,0.24477390315845524,0.24092774931230138,0.18349311058917686,0.28026730413756396,0.18349311058917686
2025-08-26,Quang Ninh,51,96,78,0,1,0,1,0.22169648237157902,0.25078739146248813,0.23052765120274787,0.571297185695869,0.6712971856958689,0.37129718569586895,0.43096244359286756,0.483594022540236,0.43096244359286756,0.3844143214132241,0.2844143214132241,0.3594143214132241,0.40627621427548277,0.3396095476088161,0.37294288094214945,0.2370897806346795,0.23235044414178851,0.2655257995920255,0.24800923962143492,0.19962214284724136,0.312525368653693
2025-08-27,Bac Ninh,96,51,81,1,0,0,1,0.25130687198196866,0.22169648237157902,0.23883933951443617,0.7712971856958689,0.4712971856958689,0.4712971856958689,0.5362256014876043,0.43096244359286756,0.3783308646454991,0.3094143214132241,0.3844143214132241,0.3594143214132241,0.3609124654278866,0.3931705299440156,0.3931705299440156,0.2446727190233051,0.23614191333610132,0.2427769844261487,0.28026730413756396,0.2318802073633704,0.26413827187949945
2025-08-28,Ha Noi,96,62,81,1,1,0,1,0.25182635250144914,0.23883933951443617,0.23883933951443617,0.7712971856958689,0.4712971856958689,0.37129718569586895,0.5362256014876043,0.3783308646454991,0.3783308646454991,0.33441432141322414,0.33441432141322414,0.3594143214132241,0.3808839508832651,0.3808839508832651,0.3808839508832651,0.24129251252743242,0.25090327658317485,0.2432146653385809,0.18349311058917686,0.19962214284724136,0.2963963363956285
2025-08-29,Hai Phong,96,62,51,0,1,1,1,0.25182635250144914,0.2393588200339167,0.22169648237157902,0.7712971856958689,0.571297185695869,0.4712971856958689,0.5888571804349728,0.3783308646454991,0.43096244359286756,0.3594143214132241,0.3594143214132241,0.3594143214132241,0.3996450432807419,0.3996450432807419,0.36934201297771163,0.23614191333610132,0.2399333825304141,0.2314025768432103,0.2318802073633704,0.18349311058917686,0.19962214284724136
2025-08-30,Nam Dinh,96,62,51,0,1,0,1,0.25182635250144914,0.2393588200339167,0.22221596289105955,0.6712971856958689,0.571297185695869,0.4712971856958689,0.5888571804349728,0.43096244359286756,0.483594022540236,0.3594143214132241,0.3844143214132241,0.3844143214132241,0.3878907773018966,0.41730254200777894,0.3878907773018966,0.23184208791033892,0.23943942884101319,0.21664740604899038,0.2318802073633704,0.18349311058917686,0.3286544009117575
2025-08-31,Thai Binh,62,96,49,0,0,0,0,0.2398783005533972,0.25182635250144914,0.2497484304235271,0.6712971856958689,0.571297185695869,0.4712971856958689,0.483594022540236,0.5362256014876043,0.32569928569813067,0.40941432141322415,0.3594143214132241,0.33441432141322414,0.43395104080755664,0.37680818366469954,0.34823675509327096,0.23754009360834463,0.248936105004356,0.25368444308602744,0.19962214284724136,0.2157511751053059,0.2157511751053059
2025-09-01,Ha Noi,62,96,66,0,1,0,1,0.2393588200339167,0.25182635250144914,0.2559821966572933,0.571297185695869,0.4712971856958689,0.4712971856958689,0.483594022540236,0.5362256014876043,0.3783308646454991,0.40941432141322415,0.3594143214132241,0.2844143214132241,0.23765728565289646,0.23765728565289646,0.23765728565289646,0.2512630732803011,0.2416569253456229,0.23973569575868728,0.2157511751053059,0.19962214284724136,0.2963963363956285
2025-09-02,Quang Ninh,96,51,26,1,0,1,1,0.25234583302092967,0.22325492393002058,0.24351466418976084,0.4712971856958689,0.37129718569586895,0.37129718569586895,0.5888571804349728,0.483594022540236,0.27306770675076225,0.3594143214132241,0.40941432141322415,0.33441432141322414,0.36471440471074706,0.36471440471074706,0.36471440471074706,0.23307738500907849,0.23686526379695727,0.2633804153121088,0.2157511751053059,0.24800923962143492,0.2963963363956285
2025-09-03,Bac Ninh,96,62,02,0,0,0,0,0.2528653135404102,0.2393588200339167,0.23831985899495564,0.4712971856958689,0.571297185695869,0.4712971856958689,0.6414887593823412,0.483594022540236,0.3783308646454991,0.3844143214132241,0.40941432141322415,0.3094143214132241,0.4554694897520689,0.31261234689492606,0.4554694897520689,0.24538799106968456,0.25296374864544213,0.2292895062211997,0.2963963363956285,0.3609124654278866,0.16736407833111233
2025-09-04,Ha Noi,96,51,62,0,1,0,1,0.2528653135404102,0.22325492393002058,0.2393588200339167,0.37129718569586895,0.4712971856958689,0.4712971856958689,0.5888571804349728,0.483594022540236,0.483594022540236,0.3844143214132241,0.43441432141322417,0.40941432141322415,0.3985358035330603,0.3985358035330603,0.2735358035330603,0.24202098827152516,0.21033591866038737,0.2511424477050345,0.2157511751053059,0.2157511751053059,0.2157511751053059
2025-09-05,Hai Phong,51,08,45,0,0,1,1,0.22325492393002058,0.2393588200339167,0.22689128756638421,0.571297185695869,0.4712971856958689,0.4712971856958689,0.5362256014876043,0.3783308646454991,0.32569928569813067,0.43441432141322417,0.2844143214132241,0.2594143214132241,0.4653651586960536,0.3542540475849425,0.4653651586960536,0.2321304153121088,0.24065314258483606,0.22266071834241183,0.2157511751053059,0.344783433169822,0.2157511751053059
2025-09-06,Nam Dinh,45,51,70,0,0,0,0,0.22741076808586475,0.22273544341054008,0.24403414470924137,0.571297185695869,0.4712971856958689,0.4712971856958689,0.3783308646454991,0.483594022540236,0.27306770675076225,0.2844143214132241,0.43441432141322417,0.1844143214132241,0.5188286428264482,0.4188286428264482,0.5188286428264482,0.26008512198253025,0.2164418582254145,0.26008512198253025,0.2157511751053059,0.312525368653693,0.18349311058917686
2025-09-07,Thai Binh,45,96,08,0,0,0,0,0.22689128756638421,0.25234583302092967,0.2398783005533972,0.571297185695869,0.37129718569586895,0.4712971856958689,0.3783308646454991,0.483594022540236,0.43096244359286756,0.2844143214132241,0.40941432141322415,0.2844143214132241,0.4716624025694984,0.3807533116604075,0.3807533116604075,0.224031991052739,0.24869992274154354,0.25723882217228355,0.24800923962143492,0.19962214284724136,0.3286544009117575
2025-09-08,Ha Noi,69,62,45,1,0,0,1,0.2315666122417089,0.2398783005533972,0.22689128756638421,0.571297185695869,0.37129718569586895,0.4712971856958689,0.3783308646454991,0.483594022540236,0.3783308646454991,0.2344143214132241,0.40941432141322415,0.2844143214132241,0.5156905356887068,0.3490238690220402,0.4323572023553735,0.23038854058041597,0.25102193789327587,0.22079161159769045,0.26413827187949945,0.2157511751053059,0.3286544009117575
2025-09-09,Quang Ninh,69,62,32,1,1,0,1,0.2315666122417089,0.2398783005533972,0.25078739146248813,0.571297185695869,0.37129718569586895,0.37129718569586895,0.43096244359286756,0.483594022540236,0.32569928569813067,0.2594143214132241,0.40941432141322415,0.33441432141322414,0.5529451098664986,0.32217587909726786,0.3990989560203448,0.2215039910781333,0.25745479524085796,0.24137154074700745,0.2318802073633704,0.3931705299440156,0.28026730413756396
2025-09-10,Bac Ninh,69,62,68,0,1,0,1,0.2320860927611894,0.24039778107287774,0.247670508345605,0.571297185695869,0.37129718569586895,0.4712971856958689,0.483594022540236,0.483594022540236,0.32569928569813067,0.2844143214132241,0.43441432141322417,0.2344143214132241,0.5848776020188916,0.3705918877331773,0.44202045916174876,0.21866576969686555,0.2527244262720784,0.24326368833451928,0.2157511751053059,0.3609124654278866,0.1512350460730478
2025-09-11,Ha Noi,69,62,54,0,0,0,0,0.2320860927611894,0.24091726159235824,0.2419562226313193,0.571297185695869,0.4712971856958689,0.4712971856958689,0.483594022540236,0.483594022540236,0.3783308646454991,0.2594143214132241,0.43441432141322417,0.33441432141322414,0.5458857618842988,0.41255242855096547,0.41255242855096547,0.2307576587863726,0.25090154367845896,0.238911136004598,0.28026730413756396,0.2157511751053059,0.28026730413756396
